source,job_id,title,company_name,location_raw,remote_status,job_type,description,tags_raw,publication_date,job_url,salary_text_raw,scrape_date
Arbeitnow,werkstudentin-content-sparring-redaktion-remote-cologne-408284,Werkstudent:in Content Sparring & Redaktion (m/w/d) - Remote,Kiwimo-Product GmbH,Cologne,Remote,Working student,"Unsere Marke WhyWords arbeitet an der Schnittstelle von Positionierung, Inhalt und Wirkung – mit klaren Worten, präzisen Gedanken und einem feinen Gespür für Sprache, Menschen und Wirkung. Für die laufende Zusammenarbeit mit unseren Kund:innen suchen wir eine:n Werkstudent:in, der/die im direkten Austausch mit Menschen arbeitet, Inhalte versteht, Gedanken strukturiert und daraus klare, hochwertige Formulierungen entwickelt. Die Rolle ist kein klassischer Copywriting-Job und auch keine reine Assistenzstelle. Es geht darum, in Gesprächen zuzuhören, Positionierung und Themen herauszuarbeiten, Gedanken zu ordnen und gemeinsam mit der Redaktion daraus starke Inhalte entstehen zu lassen. <h2>Aufgaben</h2> Direkter Austausch mit Kund:innen, insbesondere in regelmäßigen Gesprächen und Sparring-Terminen Herausarbeiten von Positionierung, Tonalität, Themen und relevanten Botschaften für die LinkedIn Accounts unserer Kunden*innen Strukturierung von Gedanken, Aussagen und Rohmaterial für redaktion",Remote|Social Media Manager,1778347827,https://www.arbeitnow.com/jobs/companies/kiwimo-product-gmbh/werkstudentin-content-sparring-redaktion-remote-cologne-408284,,2026-05-10
Arbeitnow,it-entwicklung-fur-zukunft-der-erneuerbaren-energie-speicher-wasserstoff-heidelberg-159948,IT-Entwicklung für  Zukunft der Erneuerbaren Energie - Speicher & Wasserstoff,acteno energy GmbH,Heidelberg,On-site,teamleitung,"Die Energiewirtschaft erlebt den größten Umbruch ihrer Geschichte. Die Welt der zentralen Großkraftwerke und passiven Verteilnetze wird abgelöst durch ein dezentrales, hochdynamisches System aus Wind, Photovoltaik, Batteriespeichern und Hybridanlagen – orchestriert über digitale Mess- und Steuerungsinfrastruktur. Mitten in diesem Paradigmenwechsel steht die acteno energy GmbH. Als Messstellenbetreiber (wMSB) bauen wir die digitale Infrastruktur für die Energiewende. Wir entwickeln Messkonzepte, Smart-Meter-Integrationen und Energiedatenmanagement-Plattformen für große Wind-, PV-, Hybrid- und BESS-Projekte <h2>Aufgaben</h2> Energiesysteme ganzheitlich denken: Du baust mit am Ausbau unserer Infrastruktur für das Messwesen und die ganzheitliche Optimierung von Energiesystemen – von der Erzeugung über die Speicherung bis zur bilanziellen Verrechnung. Architektur &#x26; Codebasis: Du koordinierst und erweiterst unsere bestehende Architektur und Codebasis – mit dem Anspruch, Skalierbarkeit, ",IT,1778344251,https://www.arbeitnow.com/jobs/companies/acteno-energy-gmbh/it-entwicklung-fur-zukunft-der-erneuerbaren-energie-speicher-wasserstoff-heidelberg-159948,,2026-05-10
Arbeitnow,steuerberater-in-bergisch-gladbach-203569,Steuerberater/in,Steuerberater Koslowski,Bergisch Gladbach,On-site,,"Werden Sie Teil des engagierten Teams von Steuerberater Koslowski, einem renommierten Unternehmen mit Sitz in Deutschland, das sich auf die Bereitstellung erstklassiger steuerlicher Beratungsdienstleistungen spezialisiert hat. Als Steuerberater/in haben Sie die Gelegenheit, Mandanten in einer Vielzahl von steuerlichen Angelegenheiten zu unterstützen und Ihre Expertise in einem dynamischen und anspruchsvollen Umfeld einzubringen. Wir suchen eine qualifizierte und motivierte Persönlichkeit, die Freude daran hat, komplexe steuerliche Fragestellungen zu lösen und maßgeschneiderte Lösungen für unsere vielfältige Kundschaft zu entwickeln. In Ihrer Rolle erwarten Sie abwechslungsreiche Aufgaben, die sowohl eigenverantwortliches Arbeiten als auch Teamarbeit erfordern. Wenn Sie über fundierte Kenntnisse im Steuerrecht verfügen, ein hohes Maß an Eigeninitiative mitbringen und sich durch Ihre analytischen Fähigkeiten auszeichnen, freuen wir uns darauf, Sie kennenzulernen und gemeinsam mit Ihnen d",Finance,1778340624,https://www.arbeitnow.com/jobs/companies/steuerberater-koslowski/steuerberater-in-bergisch-gladbach-203569,,2026-05-10
Arbeitnow,customer-success-manager-fur-steuerkanzleien-hamburg-414198,Customer Success Manager (m/w/d) für Steuerkanzleien,Desch Digital GmbH,Hamburg,On-site,teamleitung,"Die Desch Digital GmbH ist eine Beratung, die sich ganz auf die digitale Weiterentwicklung von Steuerkanzleien spezialisiert hat. Unser Anspruch ist es, Steuerberater spürbar zu entlasten, Abläufe einfacher zu machen und Teams so aufzustellen, dass die Kanzlei wirklich rund läuft. Heute arbeiten bereits viele Kanzleien in Deutschland mit uns zusammen und erleben, dass mit klaren Strukturen und den richtigen Systemen nicht nur mehr Zeit entsteht, sondern auch mehr Freude im Alltag. Besonders wichtig ist uns dabei, dass wir mit unseren Kunden partnerschaftlich auf Augenhöhe arbeiten und Lösungen schaffen, die sich leicht in den Kanzleialltag integrieren lassen. <h2>Aufgaben</h2> Du begleitest unsere Kundinnen und Kunden eng in Videocalls und über WhatsApp und bist ihr erster Ansprechpartner für alle Fragen. Du hilfst nicht nur beim Planen, sondern packst auch bei der Umsetzung der besprochenen Maßnahmen mit an. Du berätst umfassend zu den Themen: Digitalisierung, Positionierung und inter",Customer Service,1778337023,https://www.arbeitnow.com/jobs/companies/desch-digital-gmbh/customer-success-manager-fur-steuerkanzleien-hamburg-414198,,2026-05-10
Arbeitnow,full-stack-software-engineer-backend-frontend-bootstrapped-saas-startup-remote-in-eu-cologne-266336,Full-Stack Software Engineer / Backend & Frontend - Bootstrapped SaaS Startup (m/w/d) remote in EU,DatAds,Cologne,Remote,,"DatAds is redefining how marketing and creative teams build winning ads. Our SaaS platform bridges the gap between performance marketers and creative teams by delivering visual ad insights, automated analytics, and AI-powered creative recommendations. The result: faster workflows, smarter decisions, and more high-performing ads – across Meta, TikTok, and YouTube. We’re growing fast, with double-digit month-over-month expansion. Our customers include some of the most innovative eCommerce brands, lead generation companies, and performance marketing agencies across the DACH region – and increasingly, across Europe. Brands like yfood, Greator, Perspective, and Holy trust DatAds to power their creative strategy. If you want to be part of a fast-moving marketing tech startup where your ideas actually shape the product – join us. We're building something big, and we’re just getting started. <h2>Tasks</h2> Feature Development &#x26; Extension across product lines (analytics, inspiration, ai). ",Remote|IT,1778335256,https://www.arbeitnow.com/jobs/companies/datads/full-stack-software-engineer-backend-frontend-bootstrapped-saas-startup-remote-in-eu-cologne-266336,,2026-05-10
Arbeitnow,social-media-manager-content-creator-frankfurt-am-main-112520,Social Media Manager / Content Creator (m/w/d),Kampagnenwerk Marketing GmbH,Frankfurt am Main,On-site,,"Du übernimmst die strategische und operative Verantwortung für 2–4 unserer Mandate – meist Coaches, Personal Brands und kleine D2C-Marken. Du arbeitest eng mit der Geschäftsführung und unseren freien Editor:innen zusammen, planst Redaktionskalender, schneidest Reels und reportest die monatlichen Ergebnisse. <h2>Aufgaben</h2> Redaktionsplanung und Content-Briefings für mehrere Kund:innen-Kanäle (Instagram, TikTok, LinkedIn). Eigenständige Produktion und Schnitt von Reels in CapCut oder Premiere; Hooks und Captions schreiben. Wöchentliche Abstimmung mit Kund:innen per Loom oder Telefon, monatliche PDF-Reportings vorbereiten. Trends und Plattform-Updates beobachten und in den Redaktionsplan einbauen. Onboarding und fachliches Briefing der freien Editor:innen und Community-Manager:innen. <h2>Qualifikation</h2> Mindestens 2 Jahre Erfahrung in Social Media – Agentur, In-house oder als Creator:in. Sicheres Sprachgefühl auf Deutsch (C2/Muttersprache) und solides Englisch. Routiniert in CapCut ",Marketing Manager,1778324426,https://www.arbeitnow.com/jobs/companies/kampagnenwerk-marketing-gmbh/social-media-manager-content-creator-frankfurt-am-main-112520,,2026-05-10
Arbeitnow,tech-lead-ki-softwareentwicklung-dingolfing-210422,Tech-Lead (m/w/d) | KI & Softwareentwicklung,Agentur Philipp GmbH,Dingolfing,On-site,teamleitung,"Wir sind eine der am schnell wachsende KI-Agenturen im deutschsprachigen Mittelstand. Bei Agentur Philipp entwickeln wir keine Slides, wir bauen echte KI-Lösungen: Voice Agents, Computer-Vision-Systeme, RAG-Pipelines und Prozessautomatisierungen, die bei unseren Kunden produktiv im Einsatz sind. Jetzt suchen wir jemanden, der unser Tech-Team auf das nächste Level bringt. <h2>Aufgaben</h2> Deine Rolle Du übernimmst die technische Führung unseres Entwicklerteams und bist gleichzeitig selbst tief im Code. Du setzt die technischen Standards, reviewst Architekturen, coachst dein Team - und packst bei komplexen Projekten selbst mit an. Kein reiner Manager. Kein reiner Coder. Beides. Technische Verantwortung für alle laufenden Kundenprojekte (Voice Agents, CV-Systeme, RAG/LLM-Pipelines, Automatisierungen) Führung und Weiterentwicklung des Entwicklerteams Code Reviews, Architekturentscheidungen, Qualitätssicherung Enge Zusammenarbeit mit Projektleitung und Geschäftsführung Aufbau skalierbarer ",Management|Team Leader,1778322632,https://www.arbeitnow.com/jobs/companies/agentur-philipp-gmbh/tech-lead-ki-softwareentwicklung-dingolfing-210422,,2026-05-10
Arbeitnow,grafikdesigner-fur-technische-b2b-kommunikation-und-watertech-marketing-schweinfurt-5212,Grafikdesigner für technische B2B Kommunikation und Watertech Marketing,Interius Solutions GmbH,Schweinfurt,Remote,,"Interius ist eine spezialisierte Strategie und Marketingagentur für internationale Unternehmen aus der Wasser und Abwasserindustrie. Unsere Kunden entwickeln Technologien für Wasseraufbereitung, Abwasserbehandlung, Wiederverwendung, Membranen, Sensorik, PFAS Entfernung, Chemikalien und industrielle Infrastruktur. Wir suchen keinen reinen Kreativdesigner für schöne Bilder ohne Substanz. Wir suchen jemanden, der technisches B2B Design versteht und in der Lage ist, komplexe Inhalte visuell sauber, professionell und markengerecht umzusetzen. Es geht um Broschüren, Datenblätter, LinkedIn Grafiken, Präsentationen, Case Studies, technische Collaterals und Bildbearbeitung für internationale Kunden. <h2>Aufgaben</h2> Du erstellst grafische Materialien für technische B2B Unternehmen, insbesondere Broschüren, Datenblätter, LinkedIn Grafiken, Präsentationen, Case Studies und weitere Marketing Collaterals. Du arbeitest sicher mit Adobe InDesign und Photoshop. Kein Canva!!! Du setzt bestehende Brand",Remote|Graphic Arts and Communication Design,1778322630,https://www.arbeitnow.com/jobs/companies/interius-solutions-gmbh/grafikdesigner-fur-technische-b2b-kommunikation-und-watertech-marketing-schweinfurt-5212,,2026-05-10
Arbeitnow,linkedin-e-mail-marketing-manager-fur-b2b-watertech-content-schweinfurt-155976,LinkedIn & E-Mail Marketing Manager für B2B Watertech Content,Interius Solutions GmbH,Schweinfurt,Remote,,"Interius ist eine spezialisierte Strategie und Marketingagentur für internationale Unternehmen aus der Wasser und Abwasserindustrie. Unsere Kunden entwickeln Technologien für Wasseraufbereitung, Abwasserbehandlung, Wiederverwendung, Membranen, Sensorik, PFAS Entfernung, Chemikalien und industrielle Infrastruktur. Das ist kein Lifestyle Marketing, kein Beauty Brand Content und kein schneller Social Media Hype. Es geht um technisch anspruchsvolle B2B Kommunikation für Unternehmen, die reale Probleme in der Wasserindustrie lösen. Wir suchen jemanden, der LinkedIn und E-Mail Marketing nicht nur „schon mal gemacht“ hat, sondern wirklich versteht. Jemanden, der aus einem technischen Thema eine klare Content Idee entwickeln kann, diese sauber formuliert und anschließend auch umsetzt. Du arbeitest für Interius selbst und vor allem für unsere internationalen Kunden. <h2>Aufgaben</h2> Du entwickelst Content Ideen für LinkedIn, Newsletter und E-Mail Kampagnen für technische B2B Unternehmen aus de",Remote|Social Media Manager,1778322630,https://www.arbeitnow.com/jobs/companies/interius-solutions-gmbh/linkedin-e-mail-marketing-manager-fur-b2b-watertech-content-schweinfurt-155976,,2026-05-10
Arbeitnow,ki-gestutzter-online-marketing-manager-meta-ads-ki-automatisierung-braunschweig-447174,"KI-gestützter Online Marketing Manager (m/w/d) - META Ads, KI-Automatisierung",LK Recruiting GmbH,Braunschweig,On-site,,"Du willst nicht nur Anzeigen schalten – Du willst mit KI arbeiten, Prozesse automatisieren und Marketing neu denken? Dann such nicht weiter. Wir sind eine wachsende Digital-Agentur in Braunschweig. Unser Versprechen an unsere Kunden: garantiertes Bewerbervolumen durch datengetriebenes Recruiting-Marketing. KI ist dabei kein Buzzword bei uns – sondern tägliches Werkzeug. Für unser Team suchen wir einen (Senior) Online Marketing Manager (m/w/d), der Meta Ads beherrscht und gleichzeitig KI-Tools, Automatisierungen und smarte Workflows aktiv in seinen Arbeitsalltag integriert. <h2>Aufgaben</h2> KI im Kampagnenalltag: Du erstellst, steuerst und optimierst Meta-Ads-Kampagnen – datengetrieben, performance-orientiert und mit KI-Unterstützung bei Analyse und Copywriting. KI-Tools als Superpower: Du nutzt KI-Tools wie Claude, ChatGPT oder Manus aktiv für Texterstellung, Creative-Briefings, Kampagnenauswertungen und Entscheidungsvorlagen. KI-Automatisierung: Du automatisierst wiederkehrende Proze",Online Marketing,1778317222,https://www.arbeitnow.com/jobs/companies/lk-recruiting-gmbh/ki-gestutzter-online-marketing-manager-meta-ads-ki-automatisierung-braunschweig-447174,,2026-05-10
