source,job_id,title,company_name,location_raw,remote_status,job_type,description,tags_raw,publication_date,job_url,salary_text_raw,salary_min_raw,salary_max_raw,scrape_date
RemoteOK,1131520,Engineering Manager AI Fleet Management &amp; Honk,Spotify,,Remote,,"<p>The Platform team creates the technology that enables Spotify to learn quickly and scale easily, enabling rapid growth in our users and our business around the globe. Spanning many disciplines, we work to make the business work; creating the infrastructure, tooling, frameworks, and capabilities needed to welcome a billion customers.</p> <p><br>What if the systems you built changed how millions of developers work â not just at Spotify, but across the industry? The Platform Developer Experience (PDX) team builds the infrastructure and internal products that power how Spotify engineers ship software. Within PDX, the Wingspan team is building the next generation of fleet management and reimagining how we interact with AI agents â and bringing those capabilities to market through Portal, Spotifyâs external developer platform built on Backstage.</p> <p>&nbsp;</p> <p>We are redesigning platform engineering around intelligent agents, large language models, and decision-aware automatio",manager|design|system|architect|technical|developer|software|growth|management|lead|operational|engineering|backend|digital nomad,2026-05-08T16:01:13+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-engineering-manager-ai-fleet-management-amp-honk-spotify-1131520,,0,0,2026-05-10
RemoteOK,1131518,Senior Manager Government & Industry Affairs Operations,VGW,Maryland,Remote,,"Senior Manager, Government & Industry Affairs Operations VGW is an interactive entertainment company, harnessing technology and creativity to deliver world-class, free-to-play online social games. We have an exciting opportunity to join our Government & Industry Affairs team in the United States and are currently looking for a Senior Manager, Government & Industry Affairs Operations to join the team. This is a newly created role that will play an important part in helping VGW coordinate and execute its government affairs activity across the US. You will be responsible for bringing structure, discipline, and clear operating rhythm to a complex, multi state lobbying network, ensuring our external partners are well coordinated, accountable, and aligned to business priorities. You will work closely with Government Affairs, Legal, Marketing, and external lobbying partners to ensure activity is well planned, compliant, and clearly tracked. Weâre open to candidates based anywhere in the US,",manager|senior|operations,2026-05-08T08:00:48+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-senior-manager-government-industry-affairs-operations-vgw-1131518,$200000 - $230000,200000,230000,2026-05-10
RemoteOK,1131517,People Operations Lead,Defense Unicorns,United States,Remote,,"Role Description: As a People Operations Lead, you will serve as the operational backbone and strategic right hand of the Chief People Officer, owning the infrastructure that makes our people programs run while serving as a trusted partner to leaders and employees across every department. This is a company-wide role that lives at the intersection of HR operations, people strategy, and organizational partnership. You will build and improve the systems, processes, and programs that shape the Defense Unicorns employee experience from day one through every milestone that follows. This is not a support role â it is a high-trust, high-visibility position for someone who moves fast, thinks critically, and takes action: identifies gaps, takes ownership, and drives solutions forward without waiting to be directed. At Defense Unicorns, the order of priority is: 1) People 2) Culture 3) Process 4) Technology. We champion our values, are open to experimentation, take ownership, and have fun doing",hr|architect|support|lead|operations|operational,2026-05-08T08:00:34+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-people-operations-lead-defense-unicorns-1131517,,0,0,2026-05-10
RemoteOK,1131516,Web Development Specialist,Marketers in Demand,,Remote,,"<h1>Overview<br /></h1><p>We're looking for a Web Development Specialist to build and maintain marketing websites and landing pages for our agency's B2B technology clients. This is a hands-on production role across the three platforms our clients live on most: WordPress, HubSpot CMS (COS), and Webflow.<br />You should be equally comfortable building a custom WordPress theme, standing up a HubSpot CMS site with HubL templates and modules, and shipping a Webflow build with a clean CMS structure. On top of that, the modern web is increasingly about wiring things togetherâso we want someone who's strong with APIs and can move fast using the latest AI-assisted build tools (Lovable, Replit, v0, Cursor, Bolt) when the situation calls for it.<br />The work spans new site builds, ongoing iteration on existing client sites, landing pages for paid campaigns, and the integrations that connect those pages to the rest of the marketing stack (CRM, analytics, automations).</p><h1>Core Responsibiliti",web dev|dev,2026-05-08T01:00:28+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-web-development-specialist-marketers-in-demand-1131516,$30000 - $40000,30000,40000,2026-05-10
RemoteOK,1131515,Principal Marketing Analytics Manager,Greenhouse,Anywhere in the United States,Remote,,"Our mission at Greenhouse is to make hiring work for everyone â so we go to great lengths to hire great people because we believe that theyâre the foundation of our success. At Greenhouse, youâll join a team that collaborates purposefully, fosters inclusivity, and communicates with transparency and accountability so we can achieve our mission. Join us to do the best work of your career, solving meaningful problems with remarkable teams. Greenhouse is looking for a Principal Marketing Analytics Manager to join our team! Reporting to the VP of Growth Marketing, the Principal Marketing Analytics Manager owns the analytics strategy, reporting architecture, and performance insights for the entire marketing organization. This is a high-visibility, high-impact role that serves as the strategic engine behind our growth. In this role, you will do more than manage data; you will manage intelligence. You will deliver the analytics, dashboards, and insights required to optimize performance, ",manager|architect|technical|growth|investment|marketing|excel|analytics|go,2026-05-08T00:06:04+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-principal-marketing-analytics-manager-greenhouse-1131515,,0,0,2026-05-10
RemoteOK,1131514,Sales Development Representative,Kiavi,Remote,Remote,,"Kiavi is one of the nationâs largest private lenders to residential real estate investors (REIs). We harness the power of data & technology to offer our customers a simpler, more reliable, and faster way to access the capital they need to scale their businesses. Formerly known as LendingHome, weâre committed to helping REIs revitalize the approximately $25 trillion worth of aged U.S. housing stock to provide move-in ready homes and rental housing for millions of Americans across the country. Combining our technology and industry expertise, Kiavi has grown to a team of over 500 and has won many awards over the years including Forbes Fintech 50, Finovate Awards, Best Digital Mortgage Platform, Fast Companyâs Most Innovative Companies, and many more. Loans Funded: $30 billion in loans funded Homes financed: 100,000+ projects funded for our customers across the country Geography: 49 states + D.C. where we lend to REIs so they can revitalize neighborhoods Employees: Over 500 employees",security|fintech|sales,2026-05-08T00:05:13+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-sales-development-representative-kiavi-1131514,,0,0,2026-05-10
RemoteOK,1131513,Talent Acquisition Pipeline Manager,Nava PBC,,Remote,,"About Nava Nava is a consultancy and public benefit corporation working to make government services simple and effective. Since 2015, federal, state, and local agencies have trusted Nava to help solve highly scrutinized technology modernization challenges. As a client services company, we guide agencies constrained by legacy systems to a future with sharp user experiences built on secure, reliable, fault-tolerant cloud infrastructure. We bill for our time, offering our expertise and problem-solving approach to help our government partners enhance their digital products and services. People are at the heart of our work, from members of the public who rely on benefit programs to government agency staff. Through human-centered design and modern engineering best practices, we help our government partners understand user needs and deliver on<br/><br/>Please mention the word **HILARIOUS** and tag RODguMTk4Ljk5LjE0Mw== when applying to show you read the job post completely (#RODguMTk4Ljk5LjE0",manager|design|consultancy|cloud|engineering|digital nomad,2026-05-08T00:03:22+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-talent-acquisition-pipeline-manager-nava-pbc-1131513,,0,0,2026-05-10
RemoteOK,1131512,Analytics Engineer,Civitech,"Austin, TX or Remote",Remote,,"<p> </p><p>Civitech is a public benefit corporation dedicated to creating a fairer and more equitable democracy by building the tools and infrastructure needed to increase civic participation, empower Democratic candidates to win, and support the success of progressive causes. Since its founding in 2019, over 500 partners -- a range of nonprofit organizations, national political committees, and individual campaigns -- have utilized Civitechâs tools to reach tens of millions of voters to help create a more equitable and progressive democracy.&nbsp;</p> <p>&nbsp;</p> <p>Civitech is a remote-first company hiring within our current footprint of 27 states (AL, AK, CA, CO, DC, DE, FL, GA, HI, IL, MA, MD, MN, NC, ND, NH, NJ, NV, NY, OH, SD, TN, TX, VA, WA, WI, WY); Civitech does have an office in Austin, TX.</p> <p>&nbsp;</p> <p>It is important that our team reflects the diversity of the organizations we seek to serve. We strongly encourage women, people of color, LGBTQIA+ people, and other",python|support|code|cloud|analytics|engineer|engineering|full-time,2026-05-08T00:01:48+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-analytics-engineer-civitech-1131512,,0,0,2026-05-10
RemoteOK,1131511,Mental Health Counselor Therapist Social Worker New York,Rivia Mind - Mental Healthcare,New York,Remote,,"Get to Know Rivia Mind At Rivia Mind, we believe great mental health care begins with a human connection. Where We Are: We are a psychiatrist-owned mental health practice rooted in New York City, serving individuals across New York, New Jersey, Connecticut, Florida, and Massachusetts through both virtual and hybrid appointments. How We Support: With a Whole-Person Lens, we provide compassionate, science-based care that honors the full complexity of a personâs biology, psychology, and life circumstances. We go beyond symptom management with an interdisciplinary care model grounded in collaboration, personalization, and delivered with warmth, respect,<br/><br/>Please mention the word **RESPONSIBLY** and tag RODguMTk4Ljk5LjE0Mw== when applying to show you read the job post completely (#RODguMTk4Ljk5LjE0Mw==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",management|go|health|medical|non tech,2026-05-08T00:01:14+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-mental-health-counselor-therapist-social-worker-new-york-rivia-mind-mental-healthcare-1131511,,0,0,2026-05-10
RemoteOK,1131510,Drug & Alcohol Counselor,Pelago,Remote,Remote,,"Pelago is the worldâs leading virtual clinic for Substance Use Management. Our program provides guidance, support and treatment for members seeking to overcome their tobacco, alcohol and opioid use. From unhealthy habits to active substance use disorders, Pelago delivers a personalized solution based on individual health, habits, genetics, and goals, providing care for members wherever they might be on the substance use spectrum. Pelago's suite of virtual services ranges from education, to cognitive behavioral therapy (CBT) to comprehensive medication-assisted treatment (MAT). Pelago enables employers and health plans to deliver accessible, affordable, and effective treatment for substance misuse. Pelago has scaled to helping hundreds of employers and health plans and has already helped more than 750,000 members manage their substance use better. We have recently closed our Series C and raised over $151m from leading global investors. If you are passionate about making an impact on t",support|growth|c|health,2026-05-08T00:00:41+00:00,https://remoteok.comhttps://remoteOK.com/remote-jobs/remote-drug-alcohol-counselor-pelago-1131510,,0,0,2026-05-10
